emotion, text
sadness," Sorry , sir . We have only tables in the main dinning room left . "
neutral, Why ? 
neutral, If only I could join it ! 
joy,Last few concepts for my research paper!!! So excited to finish !!!!!
joy,De camino a Sol. A ? Naaaaaa. A ver las luces con mi chica. Llamarme #clapsico
neutral," Oh , dear . "
neutral, yeah . 
joy,Air con is broken on the train 
surprise,Mobile Music DJ's headed to a secret location ;) shhhhhhh 
surprise,Sometimes the most dysfunctional friends can turn out to be the wisest ones. God has a strange sense of humor sometimes! 
joy,Just shat on my Physics and OChem finals. Now I get to relax---jk I have calc at 7:30 AM 
joy,Have a good day everyone. I have a life to live and I better get to living it cuz time is running out..   #decency #kindness
fear,"Courage is mastery of fear, not absence of "
sadness," I'm sorry , sir . "
surprise,"Wow, @JacobEaton1 Is alone in the fourth row today what a "
joy,Waking up early tomorrow to finish assignment 
sadness," Well , he's become friends with a couple of older boys who are in a band . And one night last weekend , he came home really late , way past his curfew . "
joy,I really hate my weekend mornings. Rehearsal from 8:30-4..with a fever 
neutral," Well , I feel a little tired . "
joy,Ya3ni tomorrow I still have to go to school to get my business book. 
joy,sweet no class! :) now to study for a dumb chem test :P 
anger,When I got to know about the reaction of a friend of mine in a certain situation.  I had not expected him to react that way.
anger,"When I found out my cousin had been killed. I was angry at the world, and her murderer who was her ex-boyfriend. It was the worst and most hateful day of my life."
joy,this morning's early morning glow. #beauty #ihavenotsleptyet #6am
fear,Faith is the voice of God. Fear is the voice of satan. We can't listen to two voices. To do so makes us double-minded. @thebishop7  
sadness,Damn it! @draughtsrb is out of the @FirestoneWalker XV!! I can't even buy a bottle for home! 
surprise,need an idea of what to get me for xmas? buy me a calculator. i really need one   
sadness,FIFA tournament with the boys. Milan is now out in the semi-final to City. Eternal sadness!  
joy,@JasssssK @alex24601munro I know it sounds lame but I'm really tired and I've gotta get up in 10 hours 
joy,Joy of joys the crisis team are stopping by 
joy,Call on me! I have a good recipe for a turkey! 
fear,When my sister was very ill and was admitted to the hospital.
fear,"Edouard looked at him , and felt a sickening dismay . "
anger,"Informed by the queen-dowager of their decision , resentful at being refused permission to return home , Anne made her displeasure plain . "
sadness,Last year when I worked during the Summer holidays and studied at the same time for an examination I had to repeat; my boyfriend went to Greece for a holiday for a month.
anger, But nobody uses Macintosh ! 
joy,Their cheerfulness and delight at still being alive only made Charlie feel more guilty . 
sadness,"This morning, I watch Despicable Me since I discovered that @Meghanphelisa has never seen it. #boatloadsofshame"
joy,On my way to Wilkinson Eyre Architects tonight for part 3 study 
fear,"When my relationship with my family is very poor I often fear being excluded from the group, a fear which is stronger in situations when an argument is on hand."
joy,@alllieebieber OMG JUST  ! i get the death stare tomorrow..... 
anger,The Sheffield Wednesday striker was livid at finding himself back on the bench just 28 minutes after being sent on as a second-half substitute at Norwich on Saturday . 
neutral, See you . 
joy,A27 traffic light failure north baddesley again 
joy,"Love it Lisa! @benderthiel writing your dreams ! create your life! Spritual, Emotional, Menal, Physical, Fiscal #believer"
anger,"She is furious that he has married beneath him , but appalled when her vicious attack on him threatens to end their relationship for ever . "
fear,Melissa stared at her friend in dismay . 
joy,"His excitement at the prospect of exploiting that potential is palpable , though he has no illusions about current difficulties . "
sadness,Even crackers and Mac n chees isn't making this better :/ 
sadness," No , I Don't . Either I shape up or my job is on the line . "
fear,My  is to throw a huge  #party and no one show up... I would be upset and start inviting random people off the street : )
fear,Hoje meu dia vai ser study study and study. Tenho que me aliviar pelo menos geo e hist. Serio...... 
fear,"J'avais décidé de me coucher, et puis finalement... j'aime pas trop le lit vide et le bruit dans le couloir. "
neutral, Great . 
fear,I'm forcing myself to eat right now so I don't collapse on stage 
surprise,Love my mum she's got me tickets to see billy Connelly live. :) 
anger,She began to feel exasperated . 
joy,@_iWorshipHIM Yes!  I've developed a greater appreciation for patience!! For God!! He ALWAYS has something greater in store for us!! 
joy,"The Second I Walk In The Whole Room Gets Still,. I Don't Know How To Say This But I'm Kind Of A Big Deal "
sadness,"@makenziejane oh I wish, you had to camp out for 2 days in tents and my distain for sports and bronchitis stopped me "
joy,Lots of affection and lots of play 
neutral," No , we live in the suburbs . What about you ? "
joy,Work for the 2nd time today 
fear,False Evidence Appearing Real. 
fear,"The  will be  into   and it will keep on saying, Is there any  A muslim hell fire."
joy," for Woden's Day: On the dotted line,& pirate made his black X,& not the treasure.&   "
surprise,Totally just forgot that I saw drake in the summer perform guest at the britney spears concert he was the best part of the show...
joy,@TheBodyShopUK My 10 month old Nephew's smile 1st thg on a morning when you open his bedroom door!! Nothing beats it!! xx
fear,"Saiu nos cinemas americanos um remake de &quot;The Thing&quot;, filme que na minha infância me fez ficar noites sem dormir. "
surprise,It's December 1!! The big build up to the best time of year starts here. Surreal Christmas special coming very soon we promise. 
joy,off to la la land cause  apperently i gotta be at work at 9:30 
neutral, Nothing . 
joy,My first kiss.
joy,Oh great. My iPhone cord won't charge from the laptop but will from an outlet. Guess I gotta buy a new one. 
surprise,Moms Made Chili...Bt Im Not Hungry 
surprise,@driejs Hoe kan je gemakkelijk een gitaar namaken van karton? 
sadness,@MissDMW with this jankey ass phone messin up like it do.. I STILL DO HAVE BLACKBERRY! 
sadness,Its so cold in my room tonight 
neutral,Mr . Rogers ? 
fear,I broke a window of a neighbouring house and I feared my mother's judgement and action on what I had done.
sadness, We're sorry you have to leave . 
fear,@ndamukong_suh let the haters hate this is the D where the weak are killed and eaten we love you we got ur back do ur thing 
fear,The process of spotting and refusing to obey it is the source of all true #empowerment. -Martha Beck
sadness,Missed Chuck tonight... I feel like I might cry. The final season of the greatest show in the world. 
joy,"Sat, 26 Nov, I'll be at @RockwoodMusicNY at 9pm. It's kinda my b-day (actual: 27 Nov). In honor of my 45th, I'm giving away 45s.  "
sadness,"She still , after all these years , did not know , and one hand clenched in involuntary anguish at what she thought of as her intolerable betrayal of her brother . "
surprise,"RT, follow @unitednude and WIN one of the 5 special collector items that we are giving away to our Twitter friends! #RT #WIN"
sadness,When a close friend died.
sadness,really?! a Christmas version of the homeless/dying dogs commercial?! hahaha 
sadness,I realized that the girl I loved had to leave me.
joy,"Within months revival began , and overjoyed Christians overflowed into the city streets . "
sadness,Almost every girl on my TL vex tonight... 
sadness,"` I desire first to go to the palace of Westminster , my lord , there to greet the queen my mother and tender my condolences -- and to share the grief of my family . "" "
sadness,"@CandyMaize aww, mine doesn't do it, and UK has to wait 3 months for the film "
surprise,"Has returned from dog walking with a frozen face, I now have only David Guest's expression "
surprise,"20 hari jelang bursa transfer Januari, saya yakin Comolli sudah punya nama2 yg siap didatangkan ke LFC &amp; belum diketahui media.. "
anger,"Your eyesight 's not good enough , "" Miss Dersingham said with exasperation . "
sadness,"Jessica felt more than flustered , she felt devastated . "
disgust,"Darren , looking small and extremely disgruntled , was slumped in the front left-hand seat . "
joy,Don't worry . I'm sure you'll do better next time . 
fear,"Emmeline grew pale , both from horror at Bastide 's plight and her own . "
sadness,When summer is over and I have to leave the town where I spend my holidays.
sadness,This whole time Hershel had Sofia in the &quot;Walker Barn&quot; .... for shame.   
fear,Actually nervous for the amounts of chilli my dad has put in my salad... 
neutral," Well it was 3 to 4 , but Ripen ’ s home run made it 5 to 4 since another player was on first base . "
anger, I said sunny side up ! How many times do I have to tell you . 
neutral," Sorry , I'm engaged for the foxtrot.Will the next Walls be all right ? "
joy,Cc @B_Moletsane LOL!! Lwena my honey.. Hahaa ☺ RT @Bonang_M: My honey's birthday in 5 days... ♥ 
joy,£28 until the 23rd and £20 is going on driving tomorrow... fuck me im fucked! Christmas shopping on Christmas eve it is again! 
anger,Forgiveness doesn't heal the wounds; it frees the soul from anger &amp; hatred.    
surprise,@JackmiIburn @jakeyduffy is going to wear the mysterious shirt no. 3 ;) 
fear,Mr Carruthers said that the vast majority of evidence was over but acknowledged he was concerned that Mr McTear would not be able to conclude his testimony . 
joy," Merry Christmas , Lee ! "
surprise,Watch for  in your inbox  morning.  Big  in store!
joy,Got a headache and feel like shit 
sadness,@minisouthafrica Wed 21st. Too late for my next trip. 
joy,Grocery shopping while listening to @jesusculture's latest project just inspired an impromptu dance party in   
joy," The fans are great here , too . Not like in Philadelphia . "
joy,"just put cheese slices on toast, melted under the grill, with beans and scrambled egg! "
joy,Research project presentation all day. Why'd I pick Monday?! 
anger,Anger is what makes a clear mind seem clouded. 
fear,"I dont know how I can let someone in again, the of a repeat is greater than my fear of being shot... #Rough"
anger,When I found out that my good friend and roommate did not pay the phone bill and electric bill like he promised and let me down.
joy,"Apparently my pain and swelling should be gone by now, so now I have more painkillers to take.. and steroids. "
joy,True happiness involves the full use of one's power and talents. ~John Gardner  RT @StefanLecesque @anitabondi @Staticulator
joy,@Matador_Shark lol. U really are timmah today! Reunion is today2pm. Prob kick on after. Then I've got a wog function to go to tonight. 
surprise,Solemn vespers is as unexpected as the Spanish Inquisition. 
sadness,I always get super disappointed when I pass a horse trailer and there's no horses in it:( 
anger,And she was furious that Mr Clarke did not break the news to her before holding a Press conference . 
sadness,"@michaelmuhney amazes me when a man/wife adopt they don't think of their sex lives, yet a gay couple it's the headline "
sadness,"Woow! This week, tonight, it all! Has been soo great! Love all my friends especially @kennahgurl  will miss every1.. (:"
joy,cleaned my room for the first time since july. now I get to move into my brothers room and listen to him play computer games all night. 
sadness,The death of a close relative.
surprise,"Finnah go watch this girl play one time , she better be serving "
anger,The juniors in our dormitory at school started to complain and make a lot of noise about the duties assigned to them by the prefect who was my class-mate and was very cool and dull.
surprise,@IMjILLian thank god my mom bought me a snowman kit too !!!!!
fear,Harry was a little worried to see the water supply diminishing so rapidly but was pleased that Lucy was enjoying herself . 
fear,"And the of the #LORD fell on all the kingdoms of the lands that were around #Judah, so that they did not make war against Jehoshaphat."
fear,When someone close to me is travelling by car and is delayed.
anger," Oh , what a terrible situation ! This traffic is unbearable . "
joy, #Peace #Patience #Kindness #Goodness #Faithfulness #Gentleness #Self-Control // Keeping it real.
anger,I read in the newspaper that the Student Lodging Fund was going to build new appartments for refugees (in my opinion this is the state's affair).  This is when only a fractoin of the students can find an appartment.
joy,Didn't sleep last night..and now it's rime for class. 
neutral,How may I help you ? 
joy,Fleet Foxes+ Kanye tickets sorted for Christmas holidays...Future music and Bon iver tickets sorted for work holiday to Perth next year.
joy,Spending days off to online chat with battlefield tech support. Help me Adeep! 
shame,"Bob became embarrassed at his own effusiveness , and turned back to the screen , tapping out the rhythm with his fingers on the side of his glass . "
joy,Elf time! Cosied in front of the tv with proof-reading to be done 
surprise,@rvberloo Maak als surprise een lege kartonnen doos en noem het een  
anger,ugh can't even listen to my fucking ipod! 
joy,"When I succeeded in achieving a scholarship for which I had strived hard during a period of financial, personal and physical stress."
joy, The ice will soon be thick enough for skating . I am so fond of winter sports . 
neutral," Oh , I see . "
surprise,"&quot;Non ce n'est pas une erreur, vous avez perçu l'intéressment par rapport à l'activité de 2010 !&quot; #ViveIkea"
anger, It's unfair . 
surprise, RT “@jamiedorsch: #ThatAwkwardMomentWhen @misssteph77 comes home from college and greets you... In the shower...... ”
anger,"When the others did not do their bit of work on a group assignment task, and I had to do all the work."
sadness,since i got an iphone... i tweet like less than half the amount that i used to... 
sadness,Home from RW. Too bad I had to go home na agad. #dilangikawmaykarapatanpumarty
sadness,After training for an Australian championship competition for a year and then injuring myself 2 weeks before the competiotion.
joy,Brutal night!    ... going to be cranky tomorrow! 
anger,"When during a social evening with my father, brother, sister, close friend and my father's 2nd wife - I had an argument with my father, who abused my friend who was sticking up for me."
sadness,My girlfriend let me down badly 3 times in one week. These instances summed up all the negative aspects of our relationship which at the time seemed doomed to fail.
joy,@TayDeath I don't feel good AT ALL. Passed out in my shower! #nbd
joy,when @ThatBoyJuice32 calls me super hyper waking me up 
surprise,Woahhhhhhh just found out my grandpa was the Iranian prime minister #didntseethisonecoming
sadness, I really don't want to know about this . Physics gives me a headache . 
sadness,Haven't seen Frankii in mad long... 
disgust,About to gargle this salt water 
anger,Walked to a tutorial is a downpoor and mental winds for the lecturer not to turn up! 
fear,"... but it does have an eerie feeling to it and for those looking to buy a game that makes you hesitate around corners, I'd recommend"
anger,NCIS I love you... But do you have to cut to commercials every time something cool is about to happen? 
surprise,"Services are robbing bastards. &quot;Have you got free WiFi?&quot; Costa guy, &quot;yeah, should just pick it up automatically.&quot; Doesn't work "
sadness,Lost in a fog of uncertainty 
joy,just finished my English controlled assessment! 
joy,Power station today 
sadness,When I think about the short time that we live and relate it to the periods of my life when I think that I did not use this short time.
surprise,Have an amazingggg day everyone:) I actually don't mind being up this early lol
joy,Her stumbling repetition masked a growing delight at his basic error . 
sadness,I'm going to miss staring angrily at @CharleaUnicorn and @mikelajohnson in the hallways this week. 
anger,When my friends tried to discriminate against my friendship with certain other friends which they thought was improper.
neutral, Hi Joe . 
surprise,My mom secretly had a hotel room booked for New Orleans 2 blocks from the Superdome this whole time #rolltide
fear,"I was testing my new roller skates in the street, suddenly a dog ran barking in my direction, very threatening. I was very startled and terribly upset."
fear,@cmhegan @twohandsjack1 @jamesguest1 @SGuest82 @mdleslie56 Cummins/Cutting to lead the attack for next 10 years - Ambrose/Walsh 
surprise,‘Tis the season and PLAYMOBIL is feeling especially festive this year! Be sure to tune in tomorrow for a BIG contest announcement! 
sadness,A cousin keeps telling me education past high school is a sham. Too bad he cant spell or make an argument correctly.  
joy," Well , yes . Several colleagues from different departments helped me with that . They are very supportive . I consulted an economic expert last week . He was very kind to give valuable suggestions . "
fear,"Today, do what your  tells u to do; not what your tell u to do. Act on #COURAGE!!! Have a wonderful day!!!"
fear,"Once at midnight, I was working alone at office and the phone suddenly rang."
neutral, At five . 
joy,"@Bec_Star7 Educating Exceptional Students: Content Knowledge and Elementary Education: Curriculum, Assessment, and Content. "
neutral, Thanks . 
fear,People rarely  'cos lazy. Most of the time.. It's they have. Solution: embrace the #vacuum. You're a #unifiedfield
surprise,@timruger because im softer &amp; you snore sometimes (all the time)!:) i found the pictures btw...i will show them next time on skype!
surprise,@smedlin2011 hahahahah. Journalism party tomorrow 7th hour. Will you be making a appearance?
joy,@ZacharyGC This is why I don't follow you on twitter. Bc instead of texting me&amp; talking things out. You tweet about me. 
sadness, loss...feeling so many different emotions #anger #confusion #helplessness #RIPhalfbaked You left my life too soon
neutral, How come you think of him that way ? 
fear,"Her face must have registered dismay at having to tell Peter what had happened , for he gave a narrow smile . "
disgust,Silva on the bench in such a vital game !? This proves the strength in depth City have. 
disgust,Cow hearts in physiology this Friday? 
anger,"I was accused of a misdemeanour, unjustly."
anger,He was angry that Bernard had gone too . 
fear,Eyewitnesses told of the horror as shrapnel rained down on shoppers from two devices placed in cast-litter bins less than ten yards apart . 
joy," And my first nephew . He looks a lot like you , mum . He does . "
joy, I've never given a speech in front of a thousand people before . 
neutral, I Believe I will . Look for me near the lake . 
surprise,@gamestocker Morgen weer de uitslag van de actie! Erg benieuwd! niet alleen naar de winnaar (hoop ik) maar ook wat de Surprise is!
sadness,When I learnt that my close friend was going to immigrate.
joy,I received a letter from a friend whom I was missing
fear,I feel fear quite often but this feeling was very strong last year when my husband was quite unexpectedly sent to the hospital.
anger,When colliding with my car. I myself was to blame.
anger,Finding out about some girls who have been nice to the class leader in order to go to the neuropsychology lectures (English ones).
sadness, I 'll have the use of a locker at the airport   she trailed off with a despondent sigh . 
fear,"@jsargent90 wat happened sat nite?can't rem much, where back at that party? "
neutral," Oh , Yes ? "
sadness,@JasonA95 I know :( I'm quite sad :'( I waved goodbye along with about 10 others :L they better fucking accept my friend request :L 
fear,Had fear of losing husband.
surprise,"@MrJappe Een  als toffee? Twee x draien mey papier, klaar! "
surprise,"@greysonchance goodnight! Sleep tight, don't let the bed bugs bite :P (: love you &lt;3 can't wait for the friday (:"
anger,That comes after growing Irish annoyance at the continued failure of the British to ensure that the RUC accompanies the UDR on all its operations . 
fear,I did it! I conquered nerves and . THANK YOU SO MUCH @solzahran for learning the song #AsISang. lol 'preciate it :)
neutral, Froth ? 
disgust,Some things some girls need to keep to theirselves. This isn't your personal diary nor is it your best friend. 
fear,“@DoreenVirtue444: You have the ability to tune out the sound of and focus on the universal voice of #love.”
surprise,There's Something Cool About Taking Pictures On A Disposable Camera And Not Knowing How They Will Come Out! 
joy, See you then . 
joy,"@bethkatemiller yess maam, but the games before practice this timee "
joy,"disappointed and sore, it's gonna be a long day at work tmrw starting at 8 am, "
joy,Mother daughter bonding day 
fear,by @Drake  is still the realist song ever made by him. Way too explicit for fakes #RS
joy,Great been in the Wendy's line for good ten min an realized my purse is at home! 
fear,"@iAnteneh we do my is I don't wanna mess up,but no doubt McGill is a good school I just don't wanna live in Montreal lol"
joy,"as you watch me walk down too my future, I hope tears of are in your eyes."
sadness,Walking into uni with a heavy heart 
joy,Strawberry sorbet bubble bath  I shall smell delightful as I slumber 
fear,"PUIS ! Ils ont verrouillés les PC, et sont partis en mode total, nous disant qu'on avait juste le droit d'être là ... x)"
sadness,"Watching an old lady running up the street to catch her bus and miss it, it reminded me of my own mother and how dreadful it would be to be her in the same situation."
surprise,"@IanMakay Celebration w/the family. Small gifts w/ crazy rhymes &amp; packages ;), singing and loads of yummy #Sinterklaas sweets! ❤"
surprise,I would lose my umbrella the last week of class 
neutral," On the contrary , very exciting . "
surprise,zooh klaar voor vandaag (: nu even opruimen en nog even tv kijken
sadness,"Squeezed like despondent sardines , they looked as if they were huddling for warmth . "
joy,Met some amazing people in weekly meditation tonight and received an unexpected gift from my teacher!   
joy, Thank you . I will . 
joy,&quot;People like you....make it easy. Don't walk away...&quot; division
joy,The man I am going around with gave me a very special present.
joy, That sounds like a good idea . I'll have to try that . 
anger,When a thief broke into my house and stole some valuable goods.
surprise,Got a silver maths challenge certificate 
joy,"Julia 's questions about the line the defence lawyers were taking were as acute as anything she had ever asked David , and they filled him with relieved delight . "
sadness,@LFPFantasy_Mike So basically we're settling on the fact he's not going to. 
neutral, So did I . 
joy,"Travellers might get used to jet-lag in the sense that they learn to live with it , or they might find it progressively more irksome as their initial excitement with travel begins to wear thin . "
sadness,"The moment when u get thru ur whole timeline &amp; hit refresh &amp; ur like &quot;dang, aint no more to read!&quot; RT if ya know the feeling lol :)"
fear,"We were walking in the park at night.  It was very dark and very late.  We began to hear foot steps all around us, and we could not find our way out."
neutral, I'm sorry . 
joy,"Matthew 6:33: &quot; .BUT Seek ye FIRST The  KINGDOM of GOD, &amp; His Righteousness ; &amp; all these THINGS will be added unto you !. &quot;  #ACRONYMS"
joy,1st track practice today....
disgust,"The horse , having been abandoned in the traces for twenty-four hours , was utterly disgruntled . "
sadness,I felt very sad when a friend of mine failed the final exam and she could not be accepted at the institution of learning.
anger,When a certain boy went about saying that I am his girlfriend. I wrote him an insulting letter to him and called him names.
sadness,"OMG who are you!!! Who says that &quot;@TupacTaughtMe: I could care less about football, College or NFL ..&quot;"
joy,the moment when you get another follower and you cheer. 
fear,They probably don't realise it but that was the closest they have ever been to death @WillCon1Way #DIZZY
anger,"I had got a bad cold. My father said I must be crazy to go by motorbike at those temperatures. When I answered him that I did not care about a cold, he said that if I did not care for anything I could leave him (it was for the second time he said something like that)."
joy,:o No more  music? I've been waiting soooo long lolol thought he would never go away :)
anger,"He shows his annoyance with some intimidating facial expression , backed up by a sparse selection of adjectival punctuation invariably using the ` f "" word , which he uses with considerable effect . "
fear,"☑ RT @RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less"
joy, It's sounds like fun . 
fear,I was not prepared for the exam but I wanted to sleep the night before the exam.
joy,headed to Arbutus Methodist Church to watch my girls dance &amp; hear the choir sing 
surprise,"Most will privately confess to an initial sense of utter bewilderment , but necessity will drive them to adapt to their new way of life . "
joy,Doctors office .. Waiting for an hour 
sadness,Feel Bad Today :( In Desperate Need Of A Hug.... 
joy,i have to walk around my school with my mum &amp; sister pretending to be interested in A Level shit for two hours. 
fear,can affect your reasoning. Even brave men can lose their #courage for a time if injured or exhausted.
sadness,Bed time... Oh wait. I have a phone call... 
sadness,I was so desolate about Chip . 
anger,"Recently a good friend only called me when he needed something. He never said \please\"" or \""thank you\"" or any other kind word."""
joy,@chrisfinley1 Awh... stop.. your making me want to come to the hospital.. &amp; see... send a pic!  
sadness,Gianlt monkey..free drinks..bachata..salsa..hip hop...fist pumpin..and no cabs..if you see this call me it will be a long walk home 
joy,Looks like I'll be stranded at the airport once I land in Newark 
sadness,C'est officiel : La moustache ne me va pas. 
surprise,I can understand the apparent stupefaction of all parties . 
joy,"Long day at work, school tomorrow, "
joy," That's exactly what I want , thank you . "
anger,When I felt being treated unjustly by a teacher.
joy,Before Christmas I got to know a girl but our relationship could not consolidate before the holiday. Therefore it was a big surprise to get a carefully hand-made present from her. - Our relationship grew closer.
anger,When my boyfriend wouldn't dance with me on my graduation night because he thought I could dance with my friends who were friendly.
anger,My trouser's zipper was open when I was at a public wedding.
fear,"Do you know a book or 2 either or on anxiety, fear &amp; depression? Thank you &amp; God bless!   #depression"
fear,But there is no doubt that some of these ideas are causing great disquiet among Branch Management and Staff . 
anger,"Tonight , one of Hadley 's victims described her anger towards him , and her relief he 'd been found guilty . "
joy,@Sayruh18 I will tears of and pure satisfaction that day!!! Hahahah
joy,In convent garden having a nice glass of rose 
sadness,Woke up to finish a paper that will have no effect on my grade whether I turn it in or not 
joy,THIS IS da month where my sleeping schedule gets fucked because of culminatings &amp; exam studying. 8-)
neutral, Sure . 
joy,That feeling you get when your prayers have been answered and you hear from the one person you've been longer to hear from.  
sadness,Can't tell you how bad I feel right now quitting smoking :(
fear," &quot;@RevRunWisdom: not afraid of tomorrow, for I have seen yesterday and I love today #less&quot;"
joy,can't wear a skirt tomorrow because the high is going to be 52º. 
surprise,Home sweet home 
joy, You're right . I love it very much . 
anger, And why are you yarning now ? Are you bored ? 
surprise,My dad met some nice french canadians :O hehe jk :D @shannonrachel thats for u :D
anger,Whoops! You already tweeted that. YES TWITTER IK I WANTED TO TWEET IT AGAIN!!!!!!!!!!!!!!!!!!!!!! 
fear,Some Zimbabwe's citizens are afraid to talk of Mugabi on camera. 
joy,and with that i'm heading to bed. up early to take my art history final. 
joy,"my horoscope said i'd have money coming my way today, looks like its truee #fact"
anger,"After I said something that my boyfriend disagreed with, he walked away from me without discussing what bothered him. I became very angry with him for treating me this way. Yesterday, November 14."
surprise,@PerroMutt so the whore wants extra meat. @snoopy_pup @poomiepuma @firemankat @Rubberasylum @sparktography
surprise,@laurarexing is gonna love me because I'm going to help her pass her precal test tomorrow :) 
fear,"The first important truth for voters in such spirits is that , in their dismay about recent economic and political errors , they are forgetting the immense Tory achievements which preceded them , and are now at risk again . "
anger,My family told me to leave if I was not willing to accept the conditions they imposed on me.
neutral, Sure . 
anger,☁ The ANGRY MAN... will D E F E A T Himself in Battle as Well as in Life. ~Samurai Maxim #Creativator
fear,@TooCrazyFox Most people the #blacksheep and also #scared of their shadows! One who lurks in the darkness is a mystery!
joy,keep praying ! LOLOOoo DONT STOP ! praying keeps you in Happy ! happy =   . dont let that ole devil drag u down  #JOY.Y!
joy,"Lazy, glistening Sunday afternoon. Mass tonight at the Eucharistic Shrine "
sadness,"Fuck man, another great one bites the dust.  RIP Patrice O'Neal. @joerogan"
joy,He hadn't sounded very pleased about something -- that made two of them . 
sadness,This is why I don't go to your house. Its just a cycle. 
neutral, I really like the straight legs . 
joy,I'm starting to give a fuck less about material shit and more about what's going to carry with me into eternity.  #memories
joy,Rejoice Always!... 3rd wk of Advent:Joy! May the Joy of knowing our Saviors birth will be celebrated in 2 wks fill your lives today. 
joy,Canonbury butcher has gifted me with a sack of beautiful beef bones which are now roasting for stock. #winterfood
sadness,"i know Ry hurt me.. but it's sinking in now, and i honestly miss him more than ever "
surprise,Dolphins settle for a field goal 
sadness,He remembers the anguish of disapproval and the comforting security of guardians . 
surprise,Feeling slightly rough. Pleased I didn't end up down Barra 
joy,So scheels opens at 5? Great. Don't know what I should do til then ... 
surprise,Love when my mom comes in as a guest speaker 
sadness,I never fail to get sick during dead week #frustration #mybodyhashorribletiming
sadness,Thts Life !! &quot;@Aanchaul: hates when you love someone and they just walk out on you and act like nothing ever happened...:'(&quot;
neutral, Like what ? 
sadness,My mother's death.
joy,In March they were received as World Champions by an ecstatic crowd after winning the Cricket World Cup for the first time . 
fear,@sachaLan Free Expression As Revolution 
joy,i honestly dont believe i can think right now. sick of reading questions. but i gotta study for this marketing exam tomorrow. 
surprise,omg my black and white cat misses/coco is in my room being nice #GREATDAY
sadness, I know . Last week he gave me a lie about being too busy . 
joy,Guess what? I just walked out of the last math class I will EVER have to attend. #joy #JOY
fear,"Y a @IDFrabbi , qui se définit comme &quot;Friend of the Israeli soldier and Mossad agent.&quot; qui me follow sur twitter. #9FARET"
joy,My life over break will consict of making up homework . 
sadness,Got my script for the play!! Kinda sad w/ my talking amount 
joy,I'm optimistic that I might actually fall asleep before 8AM 
fear,I hear factor is back on the air.
neutral, Certainly . 
anger," Well , you might pinch your eyelid ! Or lose an eyeball ! "
joy,When a friend of me came for an unexpected visit.
surprise,"searching my cell on my room, can't find it and I call myself, it rings on the pocket of my pants #sobad"
joy,A person whom I had not seen for a long time called me and invited me for a party.
joy,'Very Vintage Visitor' competition with a prize of a £10 voucher to spend with The Beauty Queens @QueensOfMakeup on saturday Of Vintage
joy,Oh ya know just going to spend my day reading 200 pages in anatomy 
anger, That's all right . But why were you so rude to me at lunch . 
fear,"I had to go to the dentist's. When he touched my tooth with his drill, I was terribly afraid of the pain I would feel any moment."
joy,Have to sing to old people tomorrow.... 
joy,An invitation to spend 5 days at the seaside with all expenses paid.
anger,3 things dat can destroy a person;     
surprise,Damn I get in my car n I got a full tank!!! 
joy,Guess who's not sleeping tonight? 
fear,Before examination.
joy,Happy Thanksgiving everyone!! Watching the Macys Day Parade! Hopefully will see @OliviaMcEachin!   
anger,Gay guy at work arguing that gay men shouldn't be able to give blood and that women have lower sex drives! 
joy,Joy is all about sharing. So give it away! Go overboard. Get excessive! 
sadness,"While walking through an old mining area, I unwittingly disturbed a wallaby which, in its resultant flight, accidentally fell down a deep mine shaft. On investigation it seemed uninjured, but it was impossible for the wallaby to get out, and also for me to get it out of the shaft. To prevent its suffering a slow death, I shot it."
surprise,i have these letters in my room for stickers and i look down and there's an S-E-X and i immediately thought of @HiMyNameIsGina 
fear,We shall find reason for disquiet about this argument . 
joy,Ahhhw shoot me now.... There is an allusion due tomorrow   and there is STILL a tornado happening outside. 
fear,I was raped by a friend.
sadness,Looking at second grade math and then   Looking at my math. I miss the easy days 
neutral, That ’ s your opinion not mine . 
sadness,learning how to spot out b*tches more each day at a time 
fear,@LinziCurrie @markcurrie27 @pauldoc90 I have no memory from sat either and was also suicidal for a few days 
anger,I love when my RA only enforces the quiet hours rule when SHE'S sleeping.. but when she's having a fucking party its okay. 
joy,All grad school apps are officially sent!  now time for finals 
anger,Two years back someone invited me to be the tutor of her grand-daughter.  The grand-daughter asked me some questions in mathematics so I taught her.  However she did not listen to me and this made me feel unhappy.  The second year it was the same.  When I entered university the girl's parents suggested that I be employed as their daughters tutor.  They told me that at university  there was no homework and I would have a lot of time so they made a time-table  for me which required me to be the tutor five days a week.  They did not respect me and anyway I had another child to teach.
joy,We are supposed to get 70 mph winds today. They are already at 30 mph. #sarcasm I think I just saw someones inflatable pool fly by...
sadness,@justinbieber I wish u came to our school and told that to our boys! they don't even say hi to us in the morning :( 
sadness,Gotta bring back hunter today at noon! 
joy,Bed early!!! Class 8-12 then guard. Finally done at 10pm. 
sadness,I can only hold so much tears back &lt;/3!  
sadness,@sarahjamaluddin your kampung at Klang actually btw i just bought new earphone RED BLACK rm15 dok sempat nk jejak kaki ke USS pong! 
sadness,I was forced to leave an unforgettable friend.
anger,"Germans were resentful of France 's post-war attempts to keep them under close control , and it could not automatically be expected that they would agree to join European institutions . "
